study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	geomean	median	min	max	sd	se	cv	unit	comments
Frost2013	D0_5	6.0	API_0_5	cmax	apixaban	plasma	LC MS/MS	NA	NA	NA	9.1	NA	NA	NA	NA	NA	20.0	ng/ml	oral solution
Frost2013	D0_5	6.0	API_0_5	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	NA	61.9	NA	NA	NA	NA	NA	16.0	ng/ml*hr	oral solution
Frost2013	D0_5	6.0	API_0_5	auc_end	apixaban	plasma	LC MS/MS	12.0	hr	NA	52.7	NA	NA	NA	NA	NA	23.0	ng/ml*hr	oral solution
Frost2013	D0_5	6.0	API_0_5	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	1.5	1.0	4.0	NA	NA	NA	hr	oral solution
Frost2013	D0_5	6.0	API_0_5	thalf	apixaban	plasma	LC MS/MS	NA	NA	3.6	NA	NA	NA	NA	1.1	NA	NA	hr	oral solution
Frost2013	D1	6.0	API_1	cmax	apixaban	plasma	LC MS/MS	NA	NA	NA	23.5	NA	NA	NA	NA	NA	35.0	ng/ml	oral solution
Frost2013	D1	6.0	API_1	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	NA	174.4	NA	NA	NA	NA	NA	31.0	ng/ml*hr	oral solution
Frost2013	D1	6.0	API_1	auc_end	apixaban	plasma	LC MS/MS	24.0	hr	NA	162.6	NA	NA	NA	NA	NA	33.0	ng/ml*hr	oral solution
Frost2013	D1	6.0	API_1	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	1.8	1.0	3.0	NA	NA	NA	hr	oral solution
Frost2013	D1	6.0	API_1	thalf	apixaban	plasma	LC MS/MS	NA	NA	4.3	NA	NA	NA	NA	1.6	NA	NA	hr	oral solution
Frost2013	D2_5	6.0	API_2_5	cmax	apixaban	plasma	LC MS/MS	NA	NA	NA	52.5	NA	NA	NA	NA	NA	25.0	ng/ml	oral solution
Frost2013	D2_5	6.0	API_2_5	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	NA	437.5	NA	NA	NA	NA	NA	41.0	ng/ml*hr	oral solution
Frost2013	D2_5	6.0	API_2_5	auc_end	apixaban	plasma	LC MS/MS	48.0	hr	NA	421.1	NA	NA	NA	NA	NA	42.0	ng/ml*hr	oral solution
Frost2013	D2_5	6.0	API_2_5	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	1.5	1.0	3.0	NA	NA	NA	hr	oral solution
Frost2013	D2_5	6.0	API_2_5	thalf	apixaban	plasma	LC MS/MS	NA	NA	6.8	NA	NA	NA	NA	2.0	NA	NA	hr	oral solution
Frost2013	D5	6.0	API_5	cmax	apixaban	plasma	LC MS/MS	NA	NA	NA	104.7	NA	NA	NA	NA	NA	25.0	ng/ml	oral tablet
Frost2013	D5	6.0	API_5	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	NA	1016.6	NA	NA	NA	NA	NA	40.0	ng/ml*hr	oral tablet
Frost2013	D5	6.0	API_5	auc_end	apixaban	plasma	LC MS/MS	96.0	hr	NA	976.6	NA	NA	NA	NA	NA	36.0	ng/ml*hr	oral tablet
Frost2013	D5	6.0	API_5	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	3.3	2.5	4.0	NA	NA	NA	hr	oral tablet
Frost2013	D5	6.0	API_5	thalf	apixaban	plasma	LC MS/MS	NA	NA	15.2	NA	NA	NA	NA	8.5	NA	NA	hr	oral tablet
Frost2013	D10	6.0	API_10	cmax	apixaban	plasma	LC MS/MS	NA	NA	NA	176.3	NA	NA	NA	NA	NA	42.0	ng/ml	oral tablet
Frost2013	D10	6.0	API_10	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	NA	1303.6	NA	NA	NA	NA	NA	40.0	ng/ml*hr	oral tablet
Frost2013	D10	6.0	API_10	auc_end	apixaban	plasma	LC MS/MS	96.0	hr	NA	1266.5	NA	NA	NA	NA	NA	38.0	ng/ml*hr	oral tablet
Frost2013	D10	6.0	API_10	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	3.0	2.0	4.0	NA	NA	NA	hr	oral tablet
Frost2013	D10	6.0	API_10	thalf	apixaban	plasma	LC MS/MS	NA	NA	11.1	NA	NA	NA	NA	5.8	NA	NA	hr	oral tablet
Frost2013	D25	6.0	API_25	cmax	apixaban	plasma	LC MS/MS	NA	NA	NA	365.1	NA	NA	NA	NA	NA	17.0	ng/ml	oral tablet
Frost2013	D25	6.0	API_25	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	NA	4010.0	NA	NA	NA	NA	NA	19.0	ng/ml*hr	oral tablet
Frost2013	D25	6.0	API_25	auc_end	apixaban	plasma	LC MS/MS	96.0	hr	NA	3868.9	NA	NA	NA	NA	NA	22.0	ng/ml*hr	oral tablet
Frost2013	D25	6.0	API_25	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	3.0	2.5	4.0	NA	NA	NA	hr	oral tablet
Frost2013	D25	6.0	API_25	thalf	apixaban	plasma	LC MS/MS	NA	NA	26.8	NA	NA	NA	NA	33.7	NA	NA	hr	oral tablet
Frost2013	D50	7.0	API_50	cmax	apixaban	plasma	LC MS/MS	NA	NA	NA	685.2	NA	NA	NA	NA	NA	22.0	ng/ml	oral tablet
Frost2013	D50	7.0	API_50	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	NA	7556.5	NA	NA	NA	NA	NA	25.0	ng/ml*hr	oral tablet
Frost2013	D50	7.0	API_50	auc_end	apixaban	plasma	LC MS/MS	96.0	hr	NA	7096.7	NA	NA	NA	NA	NA	23.0	ng/ml*hr	oral tablet
Frost2013	D50	7.0	API_50	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	2.5	2.0	4.0	NA	NA	NA	hr	oral tablet
Frost2013	D50	7.0	API_50	thalf	apixaban	plasma	LC MS/MS	NA	NA	19.7	NA	NA	NA	NA	15.3	NA	NA	hr	oral tablet
Frost2013	fasted	21.0	API_10	cmax	apixaban	plasma	LC MS/MS	NA	NA	NA	150.8	NA	NA	NA	NA	NA	28.0	ng/ml	oral tablet
Frost2013	fasted	21.0	API_10	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	NA	1789.0	NA	NA	NA	NA	NA	31.0	ng/ml*hr	oral tablet
Frost2013	fasted	21.0	API_10	auc_end	apixaban	plasma	LC MS/MS	60.0	hr	NA	1762.2	NA	NA	NA	NA	NA	32.0	ng/ml*hr	oral tablet
Frost2013	fasted	21.0	API_10	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	3.0	1.5	6.0	NA	NA	NA	hr	oral tablet
Frost2013	fasted	21.0	API_10	thalf	apixaban	plasma	LC MS/MS	NA	NA	11.5	NA	NA	NA	NA	4.3	NA	NA	hr	oral tablet
Frost2013	fed	21.0	API_10	cmax	apixaban	plasma	LC MS/MS	NA	NA	NA	165.0	NA	NA	NA	NA	NA	18.0	ng/ml	oral tablet
Frost2013	fed	21.0	API_10	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	NA	1867.8	NA	NA	NA	NA	NA	30.0	ng/ml*hr	oral tablet
Frost2013	fed	21.0	API_10	auc_end	apixaban	plasma	LC MS/MS	60.0	hr	NA	1811.5	NA	NA	NA	NA	NA	30.0	ng/ml*hr	oral tablet
Frost2013	fed	21.0	API_10	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	4.0	1.0	9.0	NA	NA	NA	hr	oral tablet
Frost2013	fed	21.0	API_10	thalf	apixaban	plasma	LC MS/MS	NA	NA	11.3	NA	NA	NA	NA	2.9	NA	NA	hr	oral tablet
